Team,Wk 1,Wk 2,Wk 3,Wk 4,Wk 5,Wk 6,Wk 7,Wk 8,Wk 9,Wk 10,Wk 11,Wk 12,Wk 13,Wk 14,Wk 15,Wk 16,Wk 17,Wk 18
ARI,at TEN,MIN,at JAC,at LAR,SF,at CLE,HOU,GB,at SF,CAR,at SEA,BYE,at CHI,LAR,at DET,IND,at DAL,SEA
ATL,PHI,at TB,at NYG,WFT,NYJ,BYE,at MIA,CAR,at NO,at DAL,NE,at JAC,TB,at CAR,at SF,DET,at BUF,NO
BAL,at LV,KC,at DET,at DEN,IND,LAC,CIN,BYE,MIN,at MIA,at CHI,CLE,at PIT,at CLE,GB,at CIN,LAR,PIT
BUF,PIT,at MIA,WFT,HOU,at KC,at TEN,BYE,MIA,at JAC,at NYJ,IND,at NO,NE,at TB,CAR,at NE,ATL,NYJ
CAR,NYJ,NO,at HOU,at DAL,PHI,MIN,at NYG,at ATL,NE,at ARI,WFT,at MIA,BYE,ATL,at BUF,TB,at NO,at TB
CHI,at LAR,CIN,at CLE,DET,at LV,GB,at TB,SF,at PIT,BYE,BAL,at DET,ARI,at GB,MIN,at SEA,NYG,at MIN
CIN,MIN,at CHI,at PIT,JAC,GB,at DET,at BAL,at NYJ,CLE,BYE,at LV,PIT,LAC,SF,at DEN,BAL,KC,at CLE
CLE,at KC,HOU,CHI,at MIN,at LAC,ARI,DEN,PIT,at CIN,at NE,DET,at BAL,BYE,BAL,LV,at GB,at PIT,CIN
DAL,at TB,at LAC,PHI,CAR,NYG,at NE,BYE,at MIN,DEN,ATL,at KC,LV,at NO,at WFT,at NYG,WFT,ARI,at PHI
DEN,at NYG,at JAC,NYJ,BAL,at PIT,LV,at CLE,WFT,at DAL,PHI,BYE,LAC,at KC,DET,CIN,at LV,at LAC,KC
DET,SF,at GB,BAL,at CHI,at MIN,CIN,at LAR,PHI,BYE,at PIT,at CLE,CHI,MIN,at DEN,ARI,at ATL,at SEA,GB
GB,at NO,DET,at SF,PIT,at CIN,at CHI,WFT,at ARI,at KC,SEA,at MIN,LAR,BYE,CHI,at BAL,CLE,MIN,at DET
HOU,JAC,at CLE,CAR,at BUF,NE,at IND,at ARI,LAR,at MIA,BYE,at TEN,NYJ,IND,SEA,at JAC,LAC,at SF,TEN
IND,SEA,LAR,at TEN,at MIA,at BAL,HOU,at SF,TEN,NYJ,JAC,at BUF,TB,at HOU,BYE,NE,at ARI,LV,at JAC
JAC,at HOU,DEN,ARI,at CIN,TEN,MIA,BYE,at SEA,BUF,at IND,SF,ATL,at LAR,at TEN,HOU,at NYJ,at NE,IND
KC,CLE,at BAL,LAC,at PHI,BUF,at WFT,at TEN,NYG,GB,at LV,DAL,BYE,DEN,LV,at LAC,PIT,at CIN,at DEN
LAC,at WFT,DAL,at KC,LV,CLE,at BAL,BYE,NE,at PHI,MIN,PIT,at DEN,at CIN,NYG,KC,at HOU,DEN,at LV
LAR,CHI,at IND,TB,ARI,at SEA,at NYG,DET,at HOU,TEN,at SF,BYE,at GB,JAC,at ARI,SEA,at MIN,at BAL,SF
LV,BAL,at PIT,MIA,at LAC,CHI,at DEN,PHI,BYE,at NYG,KC,CIN,at DAL,WFT,at KC,at CLE,DEN,at IND,LAC
MIA,at NE,BUF,at LV,IND,at TB,at JAC,ATL,at BUF,HOU,BAL,at NYJ,CAR,NYG,BYE,NYJ,at NO,at TEN,NE
MIN,at CIN,at ARI,SEA,CLE,DET,at CAR,BYE,DAL,at BAL,at LAC,GB,at SF,at DET,PIT,at CHI,LAR,at GB,CHI
NE,MIA,at NYJ,NO,TB,at HOU,DAL,NYJ,at LAC,at CAR,CLE,at ATL,TEN,at BUF,BYE,at IND,BUF,JAC,at MIA
NO,GB,at CAR,at NE,NYG,at WFT,BYE,at SEA,TB,ATL,at TEN,at PHI,BUF,DAL,at NYJ,at TB,MIA,CAR,at ATL
NYG,DEN,at WFT,ATL,at NO,at DAL,LAR,CAR,at KC,LV,BYE,at TB,PHI,at MIA,at LAC,DAL,at PHI,at CHI,WFT
NYJ,at CAR,NE,at DEN,TEN,at ATL,BYE,at NE,CIN,at IND,BUF,MIA,at HOU,PHI,NO,at MIA,JAC,TB,at BUF
PHI,at ATL,SF,at DAL,KC,at CAR,TB,at LV,at DET,LAC,at DEN,NO,at NYG,at NYJ,BYE,WFT,NYG,at WFT,DAL
PIT,at BUF,LV,CIN,at GB,DEN,SEA,BYE,at CLE,CHI,DET,at LAC,at CIN,BAL,at MIN,TEN,at KC,CLE,at BAL
SEA,at IND,TEN,at MIN,at SF,LAR,at PIT,NO,JAC,BYE,at GB,ARI,at WFT,SF,at HOU,at LAR,CHI,DET,at ARI
SF,at DET,at PHI,GB,SEA,at ARI,BYE,IND,at CHI,ARI,LAR,at JAC,MIN,at SEA,at CIN,ATL,at TEN,HOU,at LAR
TB,DAL,ATL,at LAR,at NE,MIA,at PHI,CHI,at NO,BYE,at WFT,NYG,at IND,at ATL,BUF,NO,at CAR,at NYJ,CAR
TEN,ARI,at SEA,IND,at NYJ,at JAC,BUF,KC,at IND,at LAR,NO,HOU,at NE,BYE,JAC,at PIT,SF,MIA,at HOU
WFT,LAC,NYG,at BUF,at ATL,NO,KC,at GB,at DEN,BYE,TB,at CAR,SEA,at LV,DAL,at PHI,at DAL,PHI,at NYG
