,Wk_1_Matchups,Wk_2_Matchups,Wk_3_Matchups,Wk_4_Matchups,Wk_5_Matchups,Wk_6_Matchups,Wk_7_Matchups,Wk_8_Matchups,Wk_9_Matchups,Wk_10_Matchups,Wk_11_Matchups,Wk_12_Matchups,Wk_13_Matchups,Wk_14_Matchups,Wk_15_Matchups,Wk_16_Matchups,Wk_17_Matchups,Wk_18_Matchups
0,ARI at WAS,BAL at CIN,ATL at DET,ARI at SF,BAL at PIT,ARI at LAR,ARI at SEA,ATL at TEN,ARI at CLE,ATL at ARI,ARI at HOU,BAL at LAC,ARI at PIT,BUF at KC,ATL at CAR,ARI at CHI,ARI at PHI,ATL at NO
1,BUF at NYJ,CHI at TB,BUF at WAS,ATL at JAC,CAR at DET,BAL at TEN,ATL at TB,BAL at ARI,BUF at CIN,CAR at CHI,CHI at DET,BUF at PHI,ATL at NYJ,CAR at NO,BAL at JAC,BAL at SF,ATL at CHI,BUF at MIA
2,CAR at ATL,CLE at PIT,CAR at SEA,BAL at CLE,CHI at WAS,CAR at MIA,BUF at NE,CHI at LAC,CHI at NO,CLE at BAL,CIN at BAL,CAR at TEN,CAR at TB,DEN at LAC,CHI at CLE,BUF at LAC,CAR at JAC,CHI at GB
3,CIN at CLE,GB at ATL,CHI at KC,CIN at TEN,CIN at ARI,DAL at LAC,CLE at IND,CIN at SF,DAL at PHI,DEN at BUF,DAL at CAR,CHI at MIN,CIN at JAC,DET at CHI,DAL at BUF,CIN at PIT,CIN at KC,CLE at CIN
4,DAL at NYG,IND at HOU,DAL at ARI,DEN at CHI,DAL at SF,DEN at KC,DET at BAL,CLE at SEA,IND at CAR,DET at LAC,LV at MIA,CLE at DEN,CLE at LAR,GB at NYG,DEN at DET,CLE at HOU,DET at DAL,DAL at WAS
5,DET at KC,KC at JAC,DEN at MIA,DET at GB,GB at LV,DET at TB,GB at DEN,HOU at CAR,LAR at GB,GB at PIT,LAC at GB,GB at DET,DEN at HOU,HOU at NYJ,HOU at TEN,DAL at MIA,GB at MIN,DEN at LV
6,GB at CHI,LV at BUF,HOU at JAC,KC at NYJ,HOU at ATL,IND at JAC,JAC at NO,JAC at PIT,LAC at NYJ,HOU at CIN,MIN at DEN,JAC at HOU,DET at NO,IND at CIN,KC at NE,DET at MIN,LV at IND,HOU at IND
7,HOU at BAL,LAC at TEN,IND at BAL,LV at LAC,JAC at BUF,MIN at CHI,LV at CHI,KC at DEN,MIA at KC,IND at NE,NYG at WAS,KC at LV,IND at TEN,JAC at CLE,LAC at LV,GB at CAR,LAR at NYG,JAC at TEN
8,JAC at IND,MIA at NE,LAR at CIN,LAR at IND,KC at MIN,NE at LV,LAC at KC,LV at DET,MIN at ATL,NO at MIN,NYJ at BUF,LAR at ARI,KC at GB,LAR at BAL,MIN at CIN,IND at ATL,LAC at DEN,KC at LAC
9,LV at DEN,MIN at PHI,LAC at MIN,MIA at BUF,NO at NE,NO at HOU,MIA at PHI,LAR at DAL,NYG at LV,NYG at DAL,PHI at KC,MIA at NYJ,LAC at NE,MIN at LV,NYG at NO,JAC at TB,MIA at BAL,LAR at SF
10,LAR at SEA,NO at CAR,NE at NYJ,MIN at CAR,NYG at MIA,NYG at BUF,PIT at LAR,MIN at GB,SEA at BAL,NYJ at LV,PIT at CLE,NE at NYG,MIA at WAS,NE at PIT,NYJ at MIA,LV at KC,NE at BUF,MIN at DET
11,MIA at LAC,NYG at ARI,NO at GB,NE at DAL,NYJ at DEN,PHI at NYJ,SF at MIN,NE at MIA,TB at HOU,SF at JAC,SEA at LAR,NO at ATL,SF at PHI,PHI at DAL,PHI at SEA,NE at DEN,NO at TB,NYJ at NE
12,PHI at NE,NYJ at DAL,NYG at SF,PIT at HOU,PHI at LAR,SF at CLE,WAS at NYG,NO at IND,TEN at PIT,TEN at TB,TB at SF,PIT at CIN,SEA at DAL,SEA at SF,PIT at IND,NO at LAR,NYJ at CLE,PHI at NYG
13,SF at PIT,SF at LAR,PHI at TB,SEA at NYG,TEN at IND,SEA at CIN,0,NYJ at NYG,WAS at NE,WAS at SEA,TEN at JAC,SF at SEA,0,TB at ATL,SF at ARI,NYG at PHI,PIT at SEA,PIT at BAL
14,TB at MIN,SEA at DET,PIT at LV,TB at NO,0,WAS at ATL,0,PHI at WAS,0,0,0,TB at IND,0,TEN at MIA,TB at GB,SEA at TEN,SF at WAS,SEA at ARI
15,TEN at NO,WAS at DEN,TEN at CLE,WAS at PHI,0,0,0,TB at BUF,0,0,0,WAS at DAL,0,0,WAS at LAR,WAS at NYJ,TEN at HOU,TB at CAR
