,Wk_1_Matchups,Wk_2_Matchups,Wk_3_Matchups,Wk_4_Matchups,Wk_5_Matchups,Wk_6_Matchups,Wk_7_Matchups,Wk_8_Matchups,Wk_9_Matchups,Wk_10_Matchups,Wk_11_Matchups,Wk_12_Matchups,Wk_13_Matchups,Wk_14_Matchups,Wk_15_Matchups,Wk_16_Matchups,Wk_17_Matchups,Wk_18_Matchups
0,ARI at TEN,ATL at TB,ARI at JAC,ARI at LAR,BUF at KC,ARI at CLE,ATL at MIA,CAR at ATL,ARI at SF,ATL at DAL,ARI at SEA,ATL at JAC,ARI at CHI,ATL at CAR,ARI at DET,BAL at CIN,ARI at DAL,CAR at TB
1,BAL at LV,BUF at MIA,ATL at NYG,BAL at DEN,CHI at LV,BUF at TEN,CAR at NYG,CIN at NYJ,ATL at NO,BAL at MIA,BAL at CHI,BUF at NO,BAL at PIT,BAL at CLE,ATL at SF,BUF at NE,ATL at BUF,CHI at MIN
2,CHI at LAR,CIN at CHI,BAL at DET,CAR at DAL,CLE at LAC,CIN at DET,CHI at TB,DAL at MIN,BUF at JAC,BUF at NYJ,CIN at LV,CAR at MIA,DAL at NO,BUF at TB,CAR at BUF,CHI at SEA,CAR at NO,CIN at CLE
3,CLE at KC,DAL at LAC,CAR at HOU,CLE at MIN,DEN at PIT,DAL at NE,CIN at BAL,GB at ARI,CHI at PIT,CAR at ARI,DAL at KC,CHI at DET,DEN at KC,CHI at GB,CIN at DEN,CLE at GB,CLE at PIT,DAL at PHI
4,DAL at TB,DEN at JAC,CHI at CLE,DET at CHI,DET at MIN,GB at CHI,DEN at CLE,JAC at SEA,CLE at CIN,CLE at NE,DET at CLE,CLE at BAL,IND at HOU,DAL at WSH,DAL at NYG,DEN at LV,DEN at LAC,GB at DET
5,DEN at NYG,DET at GB,CIN at PIT,HOU at BUF,GB at CIN,HOU at IND,DET at LAR,LAR at HOU,DEN at DAL,DET at PIT,GB at MIN,LAC at DEN,JAC at LAR,DET at DEN,GB at BAL,DET at ATL,DET at SEA,IND at JAC
6,GB at NO,HOU at CLE,GB at SF,IND at MIA,IND at BAL,KC at WSH,HOU at ARI,MIA at BUF,GB at KC,JAC at IND,HOU at TEN,LAR at GB,LAC at CIN,JAC at TEN,HOU at JAC,IND at ARI,HOU at SF,KC at DEN
7,JAC at HOU,KC at BAL,IND at TEN,JAC at CIN,LAR at SEA,LAC at BAL,IND at SF,NE at LAC,HOU at MIA,KC at LV,IND at BUF,LV at DAL,MIN at DET,LAR at ARI,KC at LAC,JAC at NYJ,JAC at NE,LAC at LV
8,LAC at WSH,LAR at IND,LAC at KC,KC at PHI,MIA at TB,LAR at NYG,KC at TEN,NYG at KC,LAC at PHI,LAR at SF,MIA at NYJ,MIN at SF,NE at BUF,LV at KC,LV at CLE,LAC at HOU,KC at CIN,NE at MIA
9,MIA at NE,LV at PIT,MIA at LV,LV at LAC,NE at HOU,LV at DEN,NO at SEA,PHI at DET,LV at NYG,MIN at LAC,NE at ATL,NYJ at HOU,NYG at MIA,NO at NYJ,MIN at CHI,LAR at MIN,LAR at BAL,NO at ATL
10,MIN at CIN,MIN at ARI,NO at NE,NYG at NO,NO at WSH,MIA at JAC,NYJ at NE,PIT at CLE,MIN at BAL,NO at TEN,NO at PHI,PHI at NYG,PHI at NYJ,NYG at LAC,NE at IND,MIA at NO,LV at IND,NYJ at BUF
11,NYJ at CAR,NE at NYJ,NYJ at DEN,PIT at GB,NYG at DAL,MIN at CAR,PHI at LV,SF at CHI,NE at CAR,PHI at DEN,NYG at TB,PIT at CIN,SF at SEA,PIT at MIN,NO at TB,NYG at PHI,MIA at TEN,PIT at BAL
12,PHI at ATL,NO at CAR,PHI at DAL,SEA at SF,NYJ at ATL,SEA at PIT,WSH at GB,TB at NO,NYJ at IND,SEA at GB,PIT at LAC,SEA at WSH,TB at ATL,SEA at HOU,NYJ at MIA,PIT at KC,MIN at GB,SEA at ARI
13,PIT at BUF,NYG at WSH,SEA at MIN,TB at NE,PHI at CAR,TB at PHI,0,TEN at IND,TEN at LAR,TB at WSH,SF at JAC,TB at IND,WSH at LV,SF at CIN,SEA at LAR,SF at TEN,NYG at CHI,SF at LAR
14,SEA at IND,SF at PHI,TB at LAR,TEN at NYJ,SF at ARI,0,0,WSH at DEN,0,0,WSH at CAR,TEN at NE,0,0,TEN at PIT,TB at CAR,PHI at WSH,TEN at HOU
15,SF at DET,TEN at SEA,WSH at BUF,WSH at ATL,TEN at JAC,0,0,0,0,0,0,0,0,0,WSH at PHI,WSH at DAL,TB at NYJ,WSH at NYG
